87  8.60895  6.14361 -2.56384  7.85645  6.62449 -2.59504
88  8.44786  6.03692 -2.54977  7.68521  6.52035 -2.59504
89  8.28128  5.92749 -2.56446  7.51424  6.41637 -2.59504
90  8.10355  5.81359 -2.57364   7.3431  6.31224 -2.59504
91 7.94066 5.70924  -2.565  7.17196  6.20812 -2.59504
92  7.76227  5.59428 -2.55983  7.00082  6.10399 -2.59504
93  7.59143  5.48342 -2.55803  6.82967  5.99986 -2.59504
94   7.4194  5.37384 -2.57243  6.65853  5.89574 -2.59504
95 7.24702 5.26535 -2.5849  6.48765  5.79177 -2.59504
96  7.09151  5.17014 -2.59211  6.31629   5.6875 -2.59504
97  6.89083  5.04686 -2.56999  6.14492  5.58323 -2.59504
98  6.72516   4.9365 -2.54834  5.97355  5.47896 -2.59504
99  6.55976  4.82466 -2.54638  5.80219  5.37468 -2.59504
100 6.39088 4.70846  -2.529  5.63082  5.27041 -2.59504
101 6.23523 4.59973 -2.5325  5.45945  5.16614 -2.59504
102 6.05877 4.47999 -2.5524  5.28809  5.06187 -2.59504
103  5.88598  4.36252 -2.53643  5.11672   4.9576 -2.59504
104  5.73496  4.25824 -2.54502  4.94535  4.85333 -2.59504
105  5.59039  4.15787 -2.52871  4.77399  4.74906 -2.59504
106 5.41876 4.04116 -2.5505  4.60262  4.64478 -2.59504
107 5.25173 3.93033 -2.5671  4.43125  4.54051 -2.59504
108   5.0929  3.82695 -2.56375  4.25989  4.43624 -2.59504
109  4.94318  3.73074 -2.56696  4.08858  4.33227 -2.59797
110  4.77017  3.62317 -2.60138  3.91695  4.22902 -2.60207
111  4.58806  3.51238 -2.60221  3.74476  4.12695 -2.64053
112  4.44639    3.444 -2.79608  3.59645  4.06403 -2.84072
113  4.29723  3.40634 -3.00683  3.43859  4.03186 -3.04092
114 4.13237 3.39874 3.09639 3.27748 4.03172 3.04207
115 3.91508 3.42059 3.03502 3.07943 4.06153  2.9854
116 3.71884 3.43864 3.05118 2.88162  4.0926  2.9854
117 3.53849 3.45526 3.03868 2.68397 4.12368  2.9854
118 3.32033 3.47567 3.05313 2.48603 4.15481  2.9854
119 3.15338 3.48776 3.08715  2.2881 4.18593  2.9854
120 2.95435  3.4988 3.09029 2.09016 4.21706  2.9854
